2017/11/15,敦化國小,14.0,14.0,13.0,10.0,14.0,13.0,14.0,15.0,13.0,18.0,20.0,21.0,22.0,23.0,21.0,21.0, , ,23.0,21.0,15.0,15.0,14.0,15.0
2017/11/16,敦化國小,20.0,9.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,14.0,13.0,15.0,13.0,14.0,13.0,12.0, ,13.0, ,11.0,24.0,28.0,31.0,27.0
2017/11/17,敦化國小,30.0,40.0,42.0,48.0,48.0,44.0,35.0,32.0,42.0,37.0,41.0,46.0, ,45.0, , , , , ,42.0,40.0,40.0,37.0,31.0
2017/11/18,敦化國小,36.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,8.0,9.0,9.0,9.0,6.0, , ,14.0,12.0,14.0,11.0, ,15.0,15.0, , 
2017/11/19,敦化國小,16.0, , ,11.0,11.0,13.0,14.0,14.0,16.0,13.0,12.0, , ,9.0,6.0,4.0,4.0,4.0,4.0,1.0, ,1.0,0.0,4.0
2017/11/20,敦化國小, ,4.0, , , ,3.0,1.0,5.0,3.0, , ,1.0,1.0,2.0,2.0,4.0,0.0,1.0, ,2.0,1.0,1.0,3.0,3.0
2017/11/21,敦化國小,4.0,4.0,3.0,3.0,4.0, ,5.0,4.0,10.0,10.0,10.0,11.0,13.0,19.0,19.0,16.0,21.0,11.0, ,5.0,4.0,10.0,14.0,14.0
2017/11/22,敦化國小,9.0,8.0, ,4.0,3.0,3.0,5.0,6.0,9.0,10.0,8.0, , ,9.0,6.0,7.0,10.0,11.0,21.0,23.0,23.0,30.0,29.0,30.0
2017/11/23,敦化國小,45.0,52.0,53.0,45.0,37.0,25.0,15.0,16.0, ,16.0,14.0,15.0,14.0,13.0,13.0,14.0,13.0,16.0,13.0,14.0,12.0, ,11.0,7.0
2017/11/24,敦化國小,11.0,9.0,12.0,11.0,12.0, ,14.0,11.0,12.0, ,13.0,12.0,16.0,16.0, ,24.0,19.0,17.0, ,20.0,21.0,14.0, ,3.0
2017/11/25,敦化國小,2.0,5.0,13.0,2.0,2.0,1.0,3.0, ,11.0, ,27.0,19.0, ,25.0,24.0,26.0,20.0,26.0,33.0,31.0,30.0, ,34.0,35.0
2017/11/26,敦化國小,33.0,30.0,43.0,39.0,21.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0, ,7.0,7.0,9.0,5.0,4.0,5.0,5.0,4.0,4.0,6.0,11.0
