2017/06/08,松山,PM2.5,18,17,14,9,9,8,11,20,23,27,18,22,27,27,28,24,30,31,33,29,30,29,28,22
2017/06/09,松山,PM2.5,19,12,17,11,15,12,15,12,14,27,40,43,41,33,35,31,30,32,33,41,36,35,37,37
2017/06/10,松山,PM2.5,33,21,12,8,12,15,13,15,20,21,26,27,34,24,31,27,34,28,30,25,22,20,22,26
2017/06/11,松山,PM2.5,22,21,13,17,16,18,12,14,16,27,24,23,20,25*,28*,26,14,6,4,12,13,14,10,11
2017/06/12,松山,PM2.5,8,10,7,7,7,5,8,5,9,13,14,21,23,27,25,19,19,12,12,5,8,4,8,5
2017/06/13,松山,PM2.5,10,3,7,3,3,1,1,5,11,9,15,14,17,13,14,11,11,14,11,12,11,17,18,11
2017/06/14,松山,PM2.5,6,2,5,8,11,9,14,16,19,14,11,13,14,10,6,1,2,7,9,12,13,10,5,1
2017/06/15,松山,PM2.5,1,10,11,12,2,1,1,3,14,16,16*,7,10,-3#,7,6,6,5,6,3,1,3,7,7
2017/06/16,松山,PM2.5,6,1,1,3,5,6,1,4,5,12,18*,22,14,12,9,11,5,5,6,4,7,9,11,13
2017/06/17,松山,PM2.5,11,12,6,5,4,1,1,4,4,10,9,14,12,8,12,5,9,1,6,5,9,5,3,4
2017/06/18,松山,PM2.5,2,2,2,5,10,7,9,10,7,8,8,11,8,2,1,4,8,7,14,13,24*,15,15,6
2017/06/19,松山,PM2.5,6,1,1,4,8,14,6,12,6,10,6,18,17,27,15,-3#,10,15,14,17,18,17,8,3
2017/06/20,松山,PM2.5,4,7,9,4,1,1,4,6,10,10,11,14,8,8,6,15,17,21,18,23,18,19,17,18
2017/06/21,松山,PM2.5,14,9,8,14,15,12,15,10,16,10,11,15,20*,27*,18,22,29*,33*,26,17,14,19,15,16*
2017/06/22,松山,PM2.5,13,14,6,10,14,13,12,18,19,24,,17,27,22,26,26,26,23,18,18,22,26,26,18
2017/06/23,松山,PM2.5,13,11,13,18,14,14,7,12,12,18,22*,20,27*,25,23,21,20,26,19,13,14,7,13,17*
2017/06/24,松山,PM2.5,18*,17,6,7,9,10,14,14,14,14,15,14,14,16,21,26,16,17,14,14,14,12,9,9
2017/06/25,松山,PM2.5,3,7,1,7,9,9,1,2,9,11,12,7,14,16,18,20,19,20*,16*,9,12,10,15,9
2017/06/26,松山,PM2.5,22,16,17,3,4,2,4,8,8,5,9,9,17,16,23,17,26,30,33,22,16,14,13,16
2017/06/27,松山,PM2.5,11,9,4,10,8,6,1,13,16,16,12,14,20*,17,22,17,18,16,14,14,5,12,14,13
2017/06/28,松山,PM2.5,11,5,4,5,5,5,1,4,15,21*,25*,26,31,33*,,,34,32,26,23,27,23,14,8
2017/06/29,松山,PM2.5,8,8,7,15,25,18,18,14,27,32,42*,45*,46,41,41,37,39,34,35,33,28*,25,23,23
2017/06/30,松山,PM2.5,23,18,20,19,19,19,19*,27*,25*,29*,29*,32*,40,43,46,40,35*,42*,30,32,23,31,27,24
2017/07/01,松山,PM2.5,27*,27*,28*,27*,26*,27*,22*,17*,17*,25*,25*,26*,30*,31*,33*,-3#,33*,24*,18*,14,16*,14,18,13
2017/07/02,松山,PM2.5,14,6,4,10,10,11,6,4,4,11,14,16,14,15,16,9,11,17,19*,15,22*,16,13,5
2017/07/03,松山,PM2.5,8,16*,12,10,5,4,12,8,11,11,17,18,13,18,20,14,10,8,8,1,4,6,9,11
2017/07/04,松山,PM2.5,16,19,16,14,13,7,11,6,16,12,-3#,9,9,16,21,24,25*,27*,26*,15,4,4,7,10
2017/07/05,松山,PM2.5,13,10,7,6,5,5,1,6,9,14,10,9,14,9,6,8,12,12,9,9,11,15,14,7
2017/07/06,松山,PM2.5,14,11,11,1,3,3,11,14,23*,16,9,10,7,14,12,12,16,18*,18*,10,3,6,12,10
2017/07/07,松山,PM2.5,16,13,10,11,11,13,2,12,9,17,11,14,16,17,33*,29*,27*,9,10,6,9,9,8,4
2017/07/08,松山,PM2.5,11,10,10,1,1,1,3,2,7,8,16,16,19,18,27*,25,25*,16*,20*,17,21,13,13,7
2017/07/09,松山,PM2.5,11,7,11,6,12,6,9,6,14,19,15,15,15,19,14,11,14,13,15,12,17,14,13,13
2017/07/10,松山,PM2.5,14,15,11,6,8,14,14,12,11,23*,24,20,24,19,24,20,23,26,24,18,18,14,21*,12
2017/07/11,松山,PM2.5,7,7,16,14,13,8,10,14,22,23,28,31,33,27*,23,25,22,23,26,27,27,30,22,19
2017/07/12,松山,PM2.5,13,12,6,7,13,11,12,12,16,19,27,29,31,26,26,20,18,21,21,27,21,22,14,18
2017/07/13,松山,PM2.5,10,7,1,10,8,12,7,11,11,11,16,20,27,,30,32,31,34*,28*,30,18,18,13,14
2017/07/14,松山,PM2.5,11,4,3,10,13,10,6,10,20*,15,24*,25*,31,5,1,10,10,13,3,12,14,14,8,8
2017/07/15,松山,PM2.5,7,6,1,6,8,14,10,13,19,26*,22*,9,7,9,14,11,8,11,12,13,6,6,5,2
2017/07/16,松山,PM2.5,4,4,4,6,4,4,4,7,13,14,16,21*,14,13,7,8,5,6,5,6,1,8,5,10
2017/07/17,松山,PM2.5,11,14,14,5,9,5,3,3,13,17*,11,10,6,13,13,12,13,3,12,5,12,3,10,5
2017/07/18,松山,PM2.5,13,10,8,11,10,14,10,18,25,23,28,,44*,34*,32*,32*,30,27,24,24*,27*,24,25,17
2017/07/19,松山,PM2.5,14,13,14,19,20,17,14,14,18,23,24*,9,8,14,15,22,21,15,13,14,14,10,8,14
2017/07/20,松山,PM2.5,16*,14,10,10,11,14,17,15,29*,27,31*,19,15,19,22,17,16,20,23,23,13,14,11,14
2017/07/21,松山,PM2.5,8,12,8,7,5,9,8,6,8,14,14,22,27*,25,23,20,24,14,17*,13,16,14,14,12
2017/07/22,松山,PM2.5,7,7,13,9,17*,10,11,8,9,17,14,13,10,10,11,1,5,6,7,1,1,1,5,7
2017/07/23,松山,PM2.5,9,3,6,6,6,5,1,1,7,13,24*,20*,27,32,33,33,23,26,23,26,21,16,15,11
2017/07/24,松山,PM2.5,10,10,14,14,10,10,7,14,22,27,26,25,27,30,33,40*,36,34,28,32*,25,17,21,20
2017/07/25,松山,PM2.5,20,9,14,21*,21*,14,10,13,17,15,17,25,35,35,32,30,38,39,39,37,37,23,21,15
